"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"57",19634,0,0,0,35084,0,0,0,0,0,0,21848,0,0,0,0,0,0,0,31548,147402,0,227220,0,0,0,64898,0,0,0,7350,0,0,69038,60559.9999999999
"58",0,0,88246,0,23980,0,0,2960,0,0,0,3264,0,0,0,33104,0,0,196660,19592,0,17030,0,0,0,0,0,0,0,0,0,0,90556,0,0
"59",0,43554,84492.0000000001,35160,0,18670,0,0,427528,0,211680,1490,384122,0,194898,387486,0,163100,1374634,0,197834,312504,542540,58410,62538,4376,16550,0,0,88883.9999999999,2518,235668,0,25078,936
"60",0,0,0,0,0,0,189954,0,0,0,312636,0,0,0,201910,670132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240434,0
"61",0,0,0,0,0,0,0,56186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58862,126070,304340,26216,18378,0,0,0,53650,0,0
"62",0,0,0,0,0,0,0,187580,134748,0,0,109324,0,0,0,0,57751.9999999999,0,0,0,0,6288,22550,114916,0,434186,0,0,0,16768,0,0,20976,0,0
"63",15442,0,367918,1450,0,0,29736,1346,0,13360,0,1414,6960,0,2122,8916,6704,0,0,0,0,297734,567253.999999999,5826,85428.0000000001,0,1346926,214234,0,0,90654,0,284792,26884,0
"64",0,0,0,0,0,0,0,0,0,0,0,0,34218,165282,0,0,0,0,260364,0,0,73910,0,0,0,0,65440,0,0,157116,0,0,254574,0,100038
"65",0,2564,34946,39046,37396,0,34336,0,0,33812,0,0,49094,0,22778,6356,0,0,20616,0,0,0,0,25742,0,0,0,16706,0,0,0,5242,0,0,37128
"66",0,0,416496,0,0,0,0,0,988935.999999999,0,0,0,0,0,0,0,0,0,0,1226270,0,434174,0,0,0,192956,0,0,2795044,0,0,0,0,1177590,0
"67",0,306582,0,0,0,45680,52336,0,0,0,0,0,0,0,0,0,0,0,0,0,24966,0,0,0,0,21232,0,0,0,20360,0,0,0,0,0
"68",0,337104,0,0,0,262110,0,120386,126764,0,0,0,0,1143768,0,54914,0,0,531540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58400
"69",0,0,0,0,114102,0,0,0,0,0,6296,0,0,105274,0,0,0,0,45102,0,0,0,117160,0,0,0,0,0,0,0,0,102182,0,0,0
"70",0,0,168386,0,0,0,0,0,0,0,0,0,290324,0,0,0,0,318772,106774,0,0,0,0,0,123254,0,0,0,0,0,0,0,0,0,0
"71",4038,2032,0,0,2992,0,0,0,263408,0,0,4280,0,0,0,6738,0,0,0,0,11932,0,0,0,0,44814,118,0,0,0,0,0,0,0,0
"72",0,59170,0,0,0,0,97107.9999999999,0,178134,24154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17432,0,0,190194,0
"73",0,0,0,0,183112,0,0,0,184298,0,57751.9999999999,89594.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,0,0,0,147560,0
"74",0,0,0,22858,26868,0,89610,0,12112,0,449386,0,0,0,18216,231282,0,8076,7462,0,0,0,0,16380,0,0,0,0,0,0,0,159348,8374,0,0
"75",0,0,0,0,0,26048,0,0,0,0,0,0,0,0,984,0,0,0,0,0,0,0,0,0,32944,0,0,2930,0,0,0,15268,0,0,0
"76",785638,14782,1145946,1144,2037244,0,89906,6664,2574912,393258,221604,248230,0,169918,576953.999999999,0,0,130062,1317446,1413772,1304,247520,0,20848,0,0,0,317860,1275730,0,41330,0,54328,29844,799289.999999999
"77",0,0,0,0,2736,0,0,600,286,0,16976,0,0,0,0,6810,0,0,0,0,3384,0,0,0,0,0,0,2418,0,1412,544,7528,0,0,0
"78",0,0,0,0,0,304,0,0,633008,0,250146,0,5624,240,0,0,232686,0,243320,0,0,0,0,0,26510,0,0,0,0,0,0,0,0,0,0
"79",0,0,7034,634,0,0,2026,0,164048,1282,0,0,0,0,183270,0,86544,0,0,0,0,103110,26108,0,14500,61204,0,43264,0,0,0,18942,0,0,0
"80",0,0,0,0,0,0,0,0,0,4364,3012,0,0,0,1366,0,0,2678,0,0,0,17408,0,10756,75606,0,1204,4406,0,0,0,13596,0,0,0
