"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"34",273010,0,0,0,259230,0,0,0,0,0,0,0,0,0,0,508120,3550,306608,0,0,0,0,843614.000000001,111104,577354,0,0,0,0,0,115578,152278,0,0,0
"35",472,17970,0,0,0,0,0,0,0,0,0,0,0,0,0,6788,0,0,0,0,0,0,0,0,0,0,0,0,8114,0,0,0,7636,0,0
"36",0,0,3586,0,0,11032,558,0,0,0,0,0,0,0,2222,0,0,160,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,19076,0
"37",0,0,0,0,0,0,5376,0,0,0,0,508,0,13406,9040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
"38",0,0,0,142786,2152,0,221998,0,0,0,0,0,0,0,0,0,0,0,38980,0,0,0,0,3646,0,42458,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23532,0,0,124830,153362,36906,0,20476,0,0,125098,0,0
"40",13330,20332,0,0,0,0,0,0,0,0,2932,1288,0,3096,0,0,0,992,0,0,0,70342,13096,0,0,0,0,0,0,12492,33266,0,51686.0000000001,0,0
"41",0,0,0,1238,0,0,0,0,0,0,0,0,0,0,58580,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,6714,0,0,0
"42",0,0,0,0,0,0,580,0,0,0,26690,0,0,41038,0,0,0,0,0,0,0,0,31112,0,0,9550,0,3746,3234,0,72026,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65290,68,0,0,17242,0,0,0,0,0,0
"44",0,0,0,9620,0,0,0,2088,0,1770,3908,0,0,0,0,0,10950,0,0,161518,0,0,0,0,0,0,2310,0,55482.0000000001,0,0,11504,0,0,0
"45",14498,13508,20420,111836,5740,6198,50422,0,0,43700,21296,7966,51322,87098,0,0,6138,35280,0,112262,0,39104,324,0,916480,50204,24444,13066,3194,0,55446,88502,72862,75902,27874
"46",0,0,54994,0,107108,0,6090,20816,0,0,0,0,155318,0,0,0,97482,0,17178,0,0,103952,0,304540,16624,64336,0,0,0,0,150288,28452,20630,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,678934,0,0,772,0,4106,0,0,0,384,47468,0,0,0,0,0,0,0,3974,0,0,0
"48",1548,0,0,0,1714,470,2116,0,0,1056,6594,2980,700,0,0,0,434,0,0,0,0,2802,0,0,404,0,2708,0,0,0,2656,0,0,0,0
"49",0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,0,0,0,0,0,0,0,0,342,0,0,192
"50",10450,6606,0,344,16674,0,5228,3180,8252,0,0,23242,4500,41416,0,18528,8590,0,18016,3510,23572,28800,2002,38338,2814,9656.00000000001,29492,0,43288,712,1878,1754,13338,39882,0
"51",0,0,0,0,9798,0,436,0,0,0,0,0,202,4384,0,0,0,0,0,0,0,0,0,6424,0,48330,0,0,0,0,0,0,0,9010,0
"52",0,0,246,0,0,0,1904,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0,462,782,0,0,0,0,0,0,1812,0,0,0,0
"53",0,230,0,0,34166,0,0,0,5476,0,0,0,0,9414,0,0,4484,0,37408,0,0,0,9218,0,2444,2094,0,0,0,0,1736,0,0,0,13958
"54",14136,0,0,0,8434,0,0,9398,28066,0,0,0,0,0,7794,0,0,0,0,0,0,59634,59098.0000000001,0,0,28838,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,3370,0,0,0,0,19604,3390,0,0,0,0,0,0,0,0,14268,1110,0,0,0,0,0,0,0,0,0,0,17576,0
"56",0,0,0,0,0,0,0,0,63044,0,0,0,0,0,0,16112,0,0,5586,0,0,0,0,0,0,0,0,30244,0,0,0,0,0,0,0
"57",0,112124,39238,27704,0,0,0,0,0,0,0,0,19592,0,37044,0,0,0,0,0,0,0,49244,22738,149062,55666,0,0,0,0,0,0,0,0,0
"58",0,0,349534,0,0,0,0,44022,0,394738,0,0,0,0,0,0,0,0,96549.9999999999,0,0,0,0,210124,0,0,0,0,6444,0,0,1632,0,0,83822
"59",432932,0,0,0,0,37314,0,0,1242,0,81372,0,0,0,17842,0,191268,386278,0,0,0,260180,0,0,0,0,9492,0,0,0,2108,122114,0,0,0
"60",0,0,0,70798,0,0,291158,27464,0,0,0,0,0,0,0,140,0,0,0,844,0,0,25878,18378,0,0,58862,0,0,0,0,124914,0,0,56186
"61",0,0,179812,0,0,0,158204,0,0,12182,0,0,118762,0,0,0,0,0,0,0,443776,0,0,0,2484,0,0,0,19794,0,0,0,0,0,99381.9999999999
"62",0,10784,0,245948,0,159382,144386,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157556,3370,0,0,0,0
"63",0,0,0,0,0,31658,0,80059.9999999999,0,0,0,1731900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249210,0,0,50828.0000000001,0
"64",0,9342,10170,2498,0,0,0,0,0,6356,0,1004,0,0,29630,0,90486.0000000001,680,5528,0,0,0,0,0,0,3674,0,0,0,5876,34946,0,3988,39046,0
"65",0,0,0,0,2715422,0,0,0,251546,234982,0,22118,0,47600,2300116,0,0,0,1177590,0,0,0,290408,2496,28974,0,0,0,0,0,0,0,0,553372,0
"66",0,0,0,220318,0,0,0,20448,0,0,0,0,0,0,0,0,0,0,0,0,0,932,0,0,38026,0,0,21782,1054,0,0,0,0,0,278158
"67",49846,0,768248.000000001,0,0,0,0,0,0,0,1387210,242110,0,0,0,0,516528,0,0,0,322298,2934,0,171040,0,121158,538186,0,0,0,0,0,0,0,0
"68",0,7052,0,0,0,86397.9999999999,273860,62182,0,0,63514,39448,28150,75175.9999999999,0,0,0,0,102182,54914,0,0,0,0,0,0,16114,0,0,43978,0,26258,0,4314,0
"69",0,0,54890,0,0,0,0,0,22402,42942,0,0,314760,0,0,48952,0,0,0,272728,0,0,0,0,308624,0,140176,48582,0,0,0,0,0,206174,0
"70",0,0,0,9476,8966,8100,0,0,0,0,28038,0,79638,35926,0,26742,0,0,0,0,265944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",273792,0,0,344084,0,118114,25364,14666,0,0,0,0,550,0,0,0,0,175076,0,0,97248,0,11808,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,5258,0,0,0,0,0,0,0,51384,0,0,18500,0,0,472,0,53898,0,0,0,0,0,0,0,0,0,0,43600,44826,0,0,0,36312
"73",0,0,52074,0,84986,309640,5892,6954,438544,0,0,259654,85842,8636,0,89610,0,98158.0000000001,49472,3604,5118,0,0,0,78866.0000000001,159348,0,0,97668.0000000001,0,0,14218,49792,52006,0
"74",0,0,0,0,0,10850,0,8988,0,0,0,0,0,33828,4102,14914,0,0,0,2930,0,0,0,0,0,0,0,0,5130,0,26328,0,0,2920,0
"75",0,0,0,0,0,0,0,0,0,2512312,0,0,0,0,0,0,0,4690,0,0,0,0,12124,1178766,570726,0,0,0,0,0,153308,0,2426676,0,0
"76",0,0,0,3974,0,0,1922,482,0,6574,0,0,0,0,0,2096,0,0,17614,0,0,0,16976,0,0,0,0,19654,0,1722,0,0,0,0,0
"77",0,0,0,0,84775.9999999999,0,0,0,0,0,0,0,0,0,35754,0,169644,741984,0,0,0,0,0,42770,227034,20478,0,0,0,636360,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7474,0,0,0,0,0,634,0,0
"79",183008,0,0,0,0,0,0,40478,0,0,0,0,14700,0,0,25876,12750,0,0,0,0,11154,0,0,0,0,2342,3012,0,0,0,0,0,0,0
"80",0,95396,0,0,0,45336,0,0,0,0,0,27486,0,0,0,0,0,0,0,31462,0,0,65746.0000000001,0,0,0,0,0,0,0,0,0,0,0,86451.9999999999
"81",0,9450,0,0,0,0,0,0,0,0,0,0,0,0,119910,0,0,0,0,0,0,0,0,1270,0,0,0,0,10120,0,0,0,0,0,0
"82",291088,131394,0,325504,157048,164238,0,14724,107098,229602,369036,0,430648,126936,0,128208,0,0,50439.9999999999,37794,76108.0000000001,0,166726,551290,0,309158,245674,571752,0,7706,95872,144134,339268,226684,148592
"83",0,0,680629.999999999,0,624378,0,0,355760,0,597270,0,0,0,102852,524360,0,0,0,0,38790,0,492,401184,0,0,0,0,0,442492,0,0,4836380,0,912767.999999999,0
"84",0,678,0,0,0,0,0,16754,0,0,0,0,355376,0,0,0,0,0,0,0,9892,0,19410,0,4170,0,44034,0,0,370,0,0,0,990,46230
"85",176750,7402,0,109294,0,32814,33318,0,22976,429636,25162,478,0,0,0,24868,10000,23148,0,0,0,0,139048,0,0,0,51166,390690,8676,0,0,0,6552,15212,0
"86",176282,0,0,0,0,0,0,0,0,0,0,0,0,0,875734.000000001,0,0,0,139410,27330,0,0,0,0,0,0,0,308874,0,0,0,0,0,0,0
