clade_name	ERR479190.txt_reads_count	ERR479384.txt_reads_count	ERR479182.txt_reads_count	ERR479306.txt_reads_count	ERR479136.txt_reads_count	ERR479098.txt_reads_count	ERR479202.txt_reads_count	ERR479382.txt_reads_count	ERR479070.txt_reads_count	ERR479227.txt_reads_count	ERR479013.txt_reads_count	ERR479233.txt_reads_count	ERR479330.txt_reads_count	ERR479383.txt_reads_count	ERR479301.txt_reads_count	ERR479088.txt_reads_count	ERR479327.txt_reads_count	ERR479232.txt_reads_count	ERR479106.txt_reads_count	ERR479161.txt_reads_count	ERR479104.txt_reads_count	ERR479007.txt_reads_count	ERR479344.txt_reads_count	ERR479086.txt_reads_count	ERR479208.txt_reads_count	ERR479085.txt_reads_count	ERR479006.txt_reads_count	ERR479122.txt_reads_count	ERR479307.txt_reads_count	ERR479281.txt_reads_count	ERR479304.txt_reads_count	ERR479364.txt_reads_count	ERR479299.txt_reads_count	ERR479075.txt_reads_count	ERR479191.txt_reads_count	ERR479207.txt_reads_count	ERR479347.txt_reads_count	ERR479189.txt_reads_count	ERR479181.txt_reads_count	ERR479076.txt_reads_count	ERR479239.txt_reads_count	ERR479067.txt_reads_count	ERR479162.txt_reads_count	ERR479230.txt_reads_count	ERR479069.txt_reads_count	ERR479008.txt_reads_count	ERR479343.txt_reads_count	ERR479238.txt_reads_count	ERR479280.txt_reads_count	ERR479218.txt_reads_count	ERR479362.txt_reads_count	ERR479363.txt_reads_count	ERR479282.txt_reads_count	ERR479187.txt_reads_count	ERR479009.txt_reads_count	ERR479228.txt_reads_count	ERR479298.txt_reads_count	ERR479231.txt_reads_count	ERR479300.txt_reads_count	ERR479240.txt_reads_count	ERR479103.txt_reads_count	ERR479229.txt_reads_count	ERR479068.txt_reads_count	ERR479217.txt_reads_count	ERR479386.txt_reads_count	ERR479097.txt_reads_count	ERR479012.txt_reads_count	ERR479385.txt_reads_count	ERR479105.txt_reads_count	ERR479250.txt_reads_count	ERR479345.txt_reads_count	ERR479188.txt_reads_count	ERR479089.txt_reads_count	ERR479234.txt_reads_count	ERR479137.txt_reads_count	ERR479365.txt_reads_count	ERR479192.txt_reads_count	ERR479283.txt_reads_count	ERR479249.txt_reads_count	ERR478999.txt_reads_count	ERR479087.txt_reads_count	ERR479328.txt_reads_count	ERR479058.txt_reads_count	ERR479305.txt_reads_count	ERR479346.txt_reads_count	ERR479164.txt_reads_count	ERR479090.txt_reads_count	ERR479163.txt_reads_count	ERR479201.txt_reads_count	ERR479057.txt_reads_count	ERR479123.txt_reads_count	ERR479329.txt_reads_count
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Candidatus_Catenibacterium_tridentinum	96572.0										8464.0	66326.0			147746.0			70074.0	10766.0														145698.0		9270.0																							64524.0	101170.0								7720.0		10674.0					65910.0			90774.0															
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_porci	169250.0										58048.0	462734.0			267194.0	150.0		440322.0					41814.0										280142.0		16272.0												46194.0										2007426.0	472226.0	187124.0								56990.0				140466.0		552.0	455030.0			153268.0										6282.0					
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_AF16_15	5276.0	76848.0	204770.0	59358.0	332022.0	111076.0		26280.0	25494.0	31784.0	74984.0	51650.0	4826.0	30364.0	132660.0			49116.0	105324.0	198906.0	76470.0	36766.0	32102.0		12464.0		41270.0	196414.0	56316.0	220542.0	65764.0	207802.0	128718.0	334216.0		14878.0	26512.0	3234.0	201482.0	325838.0	1582.0	19868.0	5292.0	27620.0	25922.0	40964.0	32358.0	45666.0	226692.0	54028.0	225498.0	194134.0	219984.0	5288.0	38540.0	27934.0	74672.0	58268.0	78058.0	33850.0	78492.0	30330.0	25460.0	58596.0	46308.0	113052.0	83408.0	66980.0	111686.0	195112.0	138054.0	6060.0		54382.0	260484.0	207226.0	3098.0	216090.0	145450.0	89802.0			15484.0	61738.0	25198.0	2910.0	4200.0	4366.0		27314.0	173418.0	4004.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Negativibacillus|s__Negativibacillus_massiliensis	908.0		190612.0		14538.0									66.0						47556.0	462.0	3616.0	256.0				3508.0			452.0							9624.0		182268.0							3594.0	762.0						856.0		1660.0		1250.0													86884.0	6362.0				10944.0		788.0	528.0	67836.0	22816.0					11064.0							
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB79734|s__GGB79734_SGB15291	1260.0	71688.0	27678.0	29400.0		16300.0				4512.0	16622.0	107196.0	96344.0		45360.0	2108.0		94620.0	48712.0		22492.0	23424.0	20534.0		25758.0		26084.0	13202.0	25296.0	45878.0	32404.0	42912.0	38068.0			35524.0			24668.0				20452.0	5348.0		27760.0	25994.0	1190.0	54038.0	110088.0	50516.0	39792.0	53362.0		25742.0	3506.0	71908.0	105698.0	23484.0	208.0	19068.0	5836.0		109050.0	41966.0	16454.0	18180.0	65926.0	57268.0		107394.0		3246.0	110122.0		47022.0		52276.0						29664.0		11254.0	51340.0	16606.0			9532.0	94474.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Allisonella|s__Allisonella_histaminiformans	424.0	312.0			3488.0			15832.0			2758.0	780.0		15496.0	1092.0			998.0	1540.0														78.0	33426.0						33754.0														1140.0			3158.0	1074.0	308.0						76.0		2224.0	274.0	2276.0					1686.0	2308.0		410.0			4876.0							2790.0					
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__GGB4266|s__GGB4266_SGB5809	111224.0																																		6184.0																																										77126.0															
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	1554.0																																										5722.0			278.0		328.0									1340.0	48.0																			138.0									2882.0		4062.0				
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rogosae	734.0				3670.0						7534.0																	762.0				2728.0					5762.0						4090.0								3406.0	2062.0															6316.0			111070.0					1986.0	2534.0	718.0		85832.0						6388.0	2664.0		6356.0			744.0	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__GGB15850|s__GGB15850_SGB5785	4252.0	288200.0	627756.0	142950.0		394962.0				35164.0						36980.0				295112.0			468.0					97968.0	132888.0	146226.0	146242.0								566508.0		3218.0			27036.0				43102.0	148576.0				146430.0			28026.0				35180.0		31886.0			182926.0	394400.0		271458.0					33960.0				3166.0	146300.0						140240.0			288018.0				83514.0	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__GGB9075|s__GGB9075_SGB13997	43854.0																								3548.0										3780.0	4296.0																																									33070.0															
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__GGB9076|s__GGB9076_SGB13998	4124.0																		16590.0																																																		14242.0								5940.0															
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__GGB9080|s__GGB9080_SGB14004	3524.0																																																																												2516.0															
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis	14922.0							259118.0		5522.0				245184.0	46022.0				24642.0						7952.0							60298.0	47670.0	113054.0	430.0	9428.0		27278.0		112624.0				4194.0							72868.0	56194.0		43376.0		3524.0	201316.0		22640.0			4848.0					430.0		30758.0		2254.0	44126.0				61154.0	11180.0															
k__Bacteria|p__Proteobacteria|c__CFGB2429|o__OFGB2429|f__FGB2429|g__GGB77437|s__GGB77437_SGB9391	754.0					3526.0					5700.0																				180.0																										248.0									4742.0	9186.0		192.0		2020.0													60.0			4866.0					
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger	6542.0							1193550.0			83302.0			1128358.0					2168.0	4178.0		5740.0	46476.0	39362.0		37274.0	9896.0			11562.0		13840.0		35324.0						34314.0			16196.0			9776.0	46494.0		13542.0		14622.0	10686.0	11952.0		9088.0		41142.0										96638.0		2600.0		263514.0					11884.0	4262.0	12066.0			212342.0					9830.0		13906.0				
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB9817|s__GGB9817_SGB57321	848.0															3110.0														5176.0	140.0			932.0						1536.0									4414.0				5224.0				12238.0																3332.0					4658.0									59388.0					
